date,team,injury_score,notes
2026-04-09,Broncos,-1.5,seeded round profile key starter plus bench cover
2026-04-09,Bulldogs,-1.0,seeded round profile one starting forward concern
2026-04-09,Cowboys,-0.5,seeded round profile light bench disruption
2026-04-09,Dolphins,-1.0,seeded round profile rotation and depth outs
2026-04-09,Dragons,-1.5,seeded round profile multiple starters unavailable
2026-04-09,Eels,-2.5,seeded round profile multiple spine and pack concerns
2026-04-09,Knights,-1.0,seeded round profile one key starter concern
2026-04-09,Panthers,-1.0,seeded round profile light representative style disruption
2026-04-09,Rabbitohs,-1.5,seeded round profile key starter and depth concern
2026-04-09,Raiders,-0.5,seeded round profile light disruption
2026-04-09,Roosters,-0.5,seeded round profile mostly stable side
2026-04-09,Sea Eagles,-1.0,seeded round profile one outside-back style absence
2026-04-09,Sharks,-1.0,seeded round profile moderate availability hit
2026-04-09,Storm,-1.5,seeded round profile multiple key rotation concerns
2026-04-09,Titans,-0.5,seeded round profile light disruption
2026-04-09,Warriors,-0.5,seeded round profile mostly stable side
2026-04-09,Wests Tigers,-0.5,seeded round profile light disruption
